797,820,743,740
795,819,742,739
795,819,741,738
791,816,738,737
794,819,742,740
796,820,743,741
796,820,744,741
795,816,740,736
789,812,732,709
792,814,735,315
794,814,732,705
794,814,412,730
795,816,330,732
789,789,729,732
791,475,729,735
790,692,716,733
386,707,737,739
367,733,740,739
788,815,738,736
792,816,739,736
791,815,737,734
792,817,741,739
795,816,741,740
791,813,737,736
792,813,736,736
790,811,733,733
791,813,737,737
795,816,741,741
791,813,735,690
792,813,735,292
790,805,692,701
789,809,311,727
794,813,318,733
791,772,735,737
793,502,734,737
778,745,722,730
403,790,735,735
387,788,739,738
540,783,738,738
795,820,743,740
794,818,739,735
792,817,738,735
794,818,741,738
792,818,742,739
796,821,745,742
794,819,740,737
792,817,739,736
793,815,739,736
790,814,737,725
794,816,734,285
794,815,731,286
791,809,687,690
792,812,319,728
789,810,317,729
793,521,736,739
794,475,736,737
785,750,724,733
499,794,736,734
463,782,732,733
791,818,742,740
793,819,742,739
793,819,741,738
793,818,740,736
789,815,736,734
792,817,741,739
793,819,742,739
793,819,742,739
794,819,740,737
789,815,735,733
791,817,739,738
793,818,741,739
792,816,743,739
789,811,727,631
787,811,726,286
789,813,735,719
791,810,600,688
791,814,305,725
793,799,656,720
788,443,725,732
790,449,728,734
789,671,714,734
655,760,737,738
389,767,740,739
387,757,733,733
790,815,737,736
791,815,737,736
792,817,742,740
796,820,744,741
792,817,739,736
792,816,738,735
791,815,736,734
791,816,740,738
795,820,744,742
792,818,741,738
794,817,740,737
791,815,735,733
790,814,737,736
793,818,743,740
791,815,738,738
793,815,733,536
791,812,727,288
789,810,728,678
791,810,307,726
789,809,300,731
793,805,545,719
794,441,731,736
790,441,730,735
777,784,734,735
381,748,734,736
382,758,740,740
791,815,739,737
794,818,741,739
794,817,740,738
789,815,736,735
793,818,741,740
795,819,742,739
794,819,743,741
795,819,741,739
789,815,736,735
792,817,739,738
793,818,740,738
794,819,743,741
795,816,741,737
789,811,726,318
790,812,727,311
791,809,705,679
791,811,299,731
795,813,304,734
791,805,634,676
791,447,729,734
790,448,727,732
790,452,731,736
725,777,738,739
383,754,737,738
384,760,737,737
787,815,735,733
790,816,738,736
794,819,743,740
792,819,742,739
794,819,742,739
791,817,737,734
789,816,737,735
792,818,741,737
791,818,741,739
794,819,743,740
793,817,739,736
789,816,737,735
792,817,739,736
790,816,739,736
793,815,739,738
792,814,730,301
789,812,729,292
790,809,672,697
787,807,285,722
791,811,289,727
793,817,739,739
791,493,726,736
791,475,726,735
786,679,701,730
389,739,736,737
385,762,737,738
753,741,731,737
793,819,742,739
788,816,737,735
791,818,740,738
793,819,742,739
793,820,744,742
795,821,744,741
789,816,737,736
789,813,737,737
790,813,732,320
791,815,735,305
794,816,737,307
789,811,697,585
789,809,299,728
789,809,299,727
790,811,301,731
794,802,643,714
790,441,726,736
787,440,723,731
786,690,699,729
653,770,735,737
395,784,742,741
396,781,738,738
624,784,737,737
791,817,737,735
790,817,739,737
795,819,744,741
793,820,743,740
795,819,742,740
792,817,738,736
789,816,738,736
793,819,743,740
793,819,743,741
795,821,744,741
793,818,739,736
790,816,738,737
793,818,742,739
792,819,742,740
795,821,745,742
797,820,743,740
795,819,742,739
795,819,741,738
791,816,738,737
794,819,742,740
796,820,743,741
796,820,744,741
795,816,740,736
789,812,732,709
792,814,735,315
794,814,732,705
794,814,412,730
